MOVIE_NAME,WRITER
Think Like a Man,Keith Merryman
Think Like a Man,David A. Newman
The Campaign,Shawn Harwell
The Campaign,Chris Henchy
The Expendables 2,Sylvester Stallone
The Expendables 2,Richard Wenk
Wrath of the Titans,Greg Berlanti
Wrath of the Titans,David Leslie Johnson
Wrath of the Titans,Dan Mazeau
Jack Reacher,Christopher McQuarrie
Dark Shadows,John August
Dark Shadows,Seth Grahame-Smith
Parental Guidance,Lisa Addario
Parental Guidance,Joe Syracuse
John Carter,Mark Andrews
John Carter,Michael Chabon
John Carter,Andrew Stanton
Act of Valor,Kurt Johnstad
This Is 40,Judd Apatow
Contraband,Aaron Guzikowski
Looper,Rian Johnson
Tyler Perry's Madea's Witness Protection,Tyler Perry
Battleship,Erich Hoeber
Battleship,Jon Hoeber
Pitch Perfect,Kay Cannon
Mirror Mirror,Jason Keller
Mirror Mirror,Melisa Wallack
Chronicle (2012),Max Landis
Chronicle (2012),Josh Trank
Hope Springs,Vanessa Taylor
Underworld Awakening,Allison Burnett
Underworld Awakening,Len Wiseman
The Lucky One,Will Fetters
The Dictator,Alec Berg
The Dictator,Sacha Baron Cohen
The Dictator,David Mandel
The Dictator,Jeff Schaffer
Total Recall (2012),Mark Bomback
Total Recall (2012),Kurt Wimmer
American Reunion,Jon Hurwitz
American Reunion,Hayden Schlossberg
This Means War,Timothy Dowling
This Means War,Simon Kinberg
Project X,Michael Bacall
Project X,Matt Drake
The Woman in Black,Jane Goldman
Paranormal Activity 4,Christopher B. Landon
The Devil Inside,William Brent Bell
The Devil Inside,Matthew Peterman
The Odd Life of Timothy Green,Peter Hedges
Ghost Rider:Spirit of Vengeance,Scott M. Gimple
Ghost Rider:Spirit of Vengeance,David S. Goyer
Ghost Rider:Spirit of Vengeance,Seth Hoffman
The Grey,Joe Carnahan
The Grey,Ian Mackenzie Jeffers
Red Tails,Aaron McGruder
Red Tails,John Ridley
The Possession,Juliet Snowden
The Possession,Stiles White
