MOVIE_NAME,DOMESTIC_OPENING,FOREIGN_TOTAL,BUDGET,GENRE,RELEASE_DATE
The Romans,3256,0,0,Drama,2016-05-27 00:00:00
Talent Has Hunger,3709,0,0,Documentary,2016-03-11 00:00:00
Fritz Lang's Destiny (2016 re-release),2334,0,0,Fantasy,2016-05-20 00:00:00
Bourek,2692,0,0,Comedy,2016-04-29 00:00:00
The Other Side,1246,0,0,Documentary,2016-05-20 00:00:00
The Dying of the Light,996,0,0,Documentary,2016-04-07 00:00:00
The Channel,4214,0,0,Horror Thriller,2016-04-08 00:00:00
Welcome to Happiness,0,0,0,Fantasy Comedy,2016-05-19 00:00:00
Star Crossed,2826,0,0,Drama,2016-05-13 00:00:00
A Perfect Day,5002,1697431,0,Drama,2016-01-15 00:00:00
Call Her Applebroog,2559,0,0,Documentary,2016-06-10 00:00:00
Roseanne for President!,3340,0,0,Documentary,2016-07-01 00:00:00
Marinoni:The Fire in the Frame,488,0,0,Documentary,2016-04-01 00:00:00
Sworn Virgin,830,0,0,Foreign,2016-04-22 00:00:00
A Bit of Bad Luck,2480,0,0,Comedy / Drama,2016-05-13 00:00:00
Automatic Hate,2346,0,0,Comedy / Drama,2016-03-11 00:00:00
Search Party,3073,0,0,Comedy,2016-05-13 00:00:00
Synchronicity,2859,0,0,Sci-Fi Thriller,2016-01-22 00:00:00
Indian Point,3186,0,0,Documentary,2016-07-08 00:00:00
Hot Water,1512,0,0,Documentary,2016-03-11 00:00:00
Burning Bodhi,1474,0,0,Drama,2016-03-18 00:00:00
In Harmony,809,0,0,Drama,2016-04-15 00:00:00
The Professor:Tai Chi's Journey West,1744,0,0,Documentary,2016-05-06 00:00:00
White Lies,1740,0,0,Drama,2016-03-04 00:00:00
Mekong Hotel,999,0,0,Foreign,2016-03-04 00:00:00
From the East,564,0,0,Documentary,2016-04-17 00:00:00
Memoria,47,0,0,Drama,2016-04-08 00:00:00
Men Go To Battle,2087,0,0,Drama,2016-07-08 00:00:00
The Vigilante Diaries,1650,0,0,Action,2016-06-24 00:00:00
,0,0,0,NONE,
Miss India America,687,0,0,Comedy / Drama,2016-03-24 00:00:00
Hyena Road,1430,0,0,War Drama,2016-03-11 00:00:00
The Silence of Mark Rothko,268,0,0,Documentary,2016-04-21 00:00:00
Breaking a Monster,1302,0,0,Documentary,2016-06-24 00:00:00
Yalom's Cure,684,0,0,Documentary,2016-03-11 00:00:00
Next Time I'll Aim for the Heart,310,0,0,Crime Drama,2016-04-01 00:00:00
Satanic,205,0,0,Horror,2016-07-01 00:00:00
Star Wars:The Force Awakens,247966675,1131516000,245000000,Sci-Fi Fantasy,2015-12-18 00:00:00
Jurassic World,208806270,1018130012,150000000,Sci-Fi Horror,2015-06-12 00:00:00
Avengers:Age of Ultron,191271109,946408000,250000000,Action / Adventure,2015-05-01 00:00:00
Inside Out,90440272,500966000,175000000,Animation,2015-06-19 00:00:00
Furious 7,147187040,1163038891,190000000,Action,2015-04-03 00:00:00
Minions,115718405,823352627,74000000,Animation,2015-07-10 00:00:00
The Hunger Games:Mockingjay - Part 2,102665981,371704359,160000000,Action / Adventure,2015-11-20 00:00:00
The Martian,54308575,401728227,108000000,Sci-Fi,2015-10-02 00:00:00
Cinderella (2015),67877361,342363000,95000000,Fantasy,2015-03-13 00:00:00
Spectre,70403148,680600000,245000000,Action,2015-11-06 00:00:00
Mission:Impossible - Rogue Nation,55520089,487287762,150000000,Action,2015-07-31 00:00:00
Pitch Perfect 2,69216890,103209964,29000000,Comedy,2015-05-15 00:00:00
The Revenant,40301400,349312609,135000000,Action / Adventure,2015-12-25 00:00:00
Ant-Man,57225526,339243000,130000000,Action / Adventure,2015-07-17 00:00:00
Home (2015),52107731,208644097,135000000,Animation,2015-03-27 00:00:00
Hotel Transylvania 2,48464322,303526848,80000000,Animation,2015-09-25 00:00:00
Fifty Shades of Grey,85171450,404838898,40000000,Romance,2015-02-13 00:00:00
The SpongeBob Movie:Sponge Out of Water,55365012,160442506,74000000,Animation,2015-02-06 00:00:00
Straight Outta Compton,60200180,40437206,28000000,Drama,2015-08-14 00:00:00
San Andreas,54588173,318800000,110000000,Action,2015-05-29 00:00:00
